% Model,SOFC - BV-MS.mph
% Version,COMSOL 6.2.0.339
% Date,"Feb 7 2024, 14:08"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
187,1.4468184288609842E-4,9.193465796082956E-4,3.9898169790962296E-4,0.0026985766972594137,0.002887400824437419
188,1.3693481737695587E-4,8.35808610428931E-4,3.936085852925686E-4,0.0025594027209167804,0.0027236932765671478
189,1.2960094019469093E-4,7.923687397050057E-4,3.8833464516099017E-4,0.0024240805049455306,0.002569674475363302
190,1.2265806808242142E-4,7.704594188087556E-4,3.83162304269818E-4,0.002293392696031903,0.0024247287790258192
191,1.1608539595748983E-4,7.587928142194915E-4,3.780920736072207E-4,0.0021688587154936453,0.002288284495972166
192,1.0986322393195807E-4,7.512451278287033E-4,3.731231242542206E-4,0.0020502425678075816,0.0021598082788389116
193,1.0397289888058828E-4,7.448429130548298E-4,3.6825373636879474E-4,0.0019381037872817416,0.002038803765624391
194,9.839677162312455E-5,7.383012000776759E-4,3.63481531700365E-4,0.0018321837974048538,0.0019248079928130255
195,9.311811215556045E-5,7.311819777558878E-4,3.5880397731060905E-4,0.0017322453305426216,0.0018173895629719796
196,8.812109756026201E-5,7.234611217537505E-4,3.5421827682708345E-4,0.0016378275587328127,0.0017161440048138227
197,8.339071548387561E-5,7.15260031973535E-4,3.497209085749696E-4,0.0015484839917376243,0.0016206968237602456
198,7.891281464129262E-5,7.067101238323658E-4,3.4530877245824636E-4,0.0014643397167552396,0.0015306987431697142
199,7.467399709821707E-5,6.979721246159478E-4,3.409788529666228E-4,0.0013849373474359365,0.0014458217934405389
200,7.066156134943886E-5,6.89169160296726E-4,3.367282546043761E-4,0.001309887462464776,0.0013657606245768166
201,6.686349599412014E-5,6.8039688814978E-4,3.325535661559645E-4,0.0012390143676404932,0.0012902277612722556
202,6.32684060658167E-5,6.717230367535558E-4,3.284517209680999E-4,0.0011721049892861493,0.0012189561376534782
203,5.9865539143424794E-5,6.631897172904567E-4,3.244200755675024E-4,0.0011088254185683212,0.0011516952010688333
204,5.6644693573358056E-5,6.54827656407495E-4,3.2045619550632705E-4,0.0010490517975759446,9.771612116028592E-4
205,4.266009298860365E-5,6.425891408247355E-4,3.165832708998104E-4,8.732270852684661E-4,9.342780472150895E-4
NaN,NaN,NaN,NaN,NaN,NaN
206,0.07906423888285159,0.08128498947528846,4.604498070436234E-4,0.07749509352625317,0.006544422940233104
207,3.909426744224589E-4,0.04883350882343789,4.531563783987822E-4,0.04979212424540315,0.006287409630770916
208,3.1740653646103115E-4,0.03213198783651649,4.481805704294815E-4,0.02716583706206587,0.005914791883043304
209,3.0153494746114015E-4,0.022951174946369786,4.4323568048266094E-4,0.013443173070326038,0.005568226682234604
210,2.870751702132451E-4,0.017220794728555294,4.380326971006714E-4,0.006533753612625651,0.005250254031860049
211,2.7345387948971565E-4,0.01309800619801192,4.32597363099653E-4,0.0038539808987707483,0.004957747314855942
