% Model,SOFC - BV-MS Simulation 2.mph
% Version,COMSOL 6.2.0.339
% Date,"Jan 31 2024, 23:10"
% Table,"Solution 1/Stationary Solver 5, Segregated solver - "
% Iteration number,Error: Current Distribution,"Error: Velocity U_a, Pressure P_a",Error: Mass Fractions,"Error: Velocity U_f, Pressure P_f",Error: Mass Fractions (2)
48,2.3926174830085991E-4,0.0036579307287783846,5.797311925429758E-4,0.0028770178288945823,0.006259891034656282
49,1.876201451091726E-4,0.0020352235471012108,5.195450361982722E-4,0.0028263688371817216,0.004884458246836614
50,1.4660081242859568E-4,0.001212289435584247,4.6628639092886426E-4,0.002589926332078085,0.003813821765328156
51,1.1458210199900407E-4,8.063083056770618E-4,4.179122513867483E-4,0.0022541288450499005,0.0029792538465248405
52,8.957030454735501E-5,6.047158731770391E-4,3.7542446814047714E-4,0.0018988540560048244,0.002327903976429745
53,7.003056626330115E-5,4.954263625251591E-4,3.366873803295252E-4,0.0015660284020275787,0.0018191334187662607
54,5.4765618029438216E-5,4.254736701935886E-4,3.028620720528608E-4,0.0012731758504804052,0.0014215400681903858
55,4.284810128098869E-5,3.737618119036158E-4,2.7178749580444167E-4,0.0010248872848622188,9.96757168703625E-4
56,2.6838311110670266E-5,3.314163121630434E-4,2.449259686961902E-4,7.476463845445374E-4,8.239752734434466E-4
57,2.2261210385377677E-5,2.960120339954309E-4,2.1996434045950215E-4,5.730070350855198E-4,6.802034727506147E-4
NaN,NaN,NaN,NaN,NaN,NaN
58,0.13949665947466255,0.04706652331197492,0.0014966961112543142,0.0353272173266568,0.01643772921635649
59,7.115146840281013E-4,0.024860376560952475,0.0011391713666940456,0.018477425569559135,0.013592471855039876
60,4.211878526587656E-4,0.013687522945072517,8.003534785507583E-4,0.007822776183237342,0.010688047573077822
61,3.3339443465154304E-4,0.007463503983650203,6.637751547709695E-4,0.0037203728711113016,0.008415190435802427
62,2.63611861891552E-4,0.004163952683003587,5.506675424669965E-4,0.003152892825865876,0.006631826349884216
63,2.0936093902179735E-4,0.002297921248517464,4.926648964455891E-4,0.0030928075385719548,0.0052336483003717574
